Format_Name,Standardized_Format_Name,Format_Type
# ISO 9660 CD-ROM filesystem data '',ISO 9660 CD-ROM filesystem data,application
# ISO 9660 CD-ROM filesystem data ''DataDVD'',ISO 9660 CD-ROM filesystem data,application
# ISO 9660 CD-ROM filesystem data 'DEIS_7_30_99',ISO 9660 CD-ROM filesystem data,application
# ISO 9660 CD-ROM filesystem data 'NWGABUSHONORSBILLFINCHER',ISO 9660 CD-ROM filesystem data,application
# ISO 9660 CD-ROM filesystem data 'POG',ISO 9660 CD-ROM filesystem data,application
# ISO 9660 CD-ROM filesystem data 'UNTITLED',ISO 9660 CD-ROM filesystem data,application
# UDF filesystem data (version 1.5) '',UDF filesystem data,application
# UDF filesystem data (version 1.5) '10THANNIVERSARY',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'ABI_PROGRAM_CCTV',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'ALBANY_ARC',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'ALIEN_PLANET',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'AT_SHOW',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'BIENNIAL_INSTITUTE_DVD',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'CLIMATE_OF_HOPE',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'DISABILITIES_DAY',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'DISABLED_IN_ACTION_INC',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'DISCOVERY_DAY_2008',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'DVD_VIDEO_RECORDER',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'DVD_VIDEO_RECORDING',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'DVDIRECT_DISC_0010_',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'DVDSIN_DIRECT',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'DVR5000',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'EXPRESS',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'FRESHMANNRCC',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'FUNAI_DVD_VIDEO',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'GCDD',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'GCDD_2008',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'GCDD_2013',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'GCDD_DVD',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'GCDD_PROGRAM_092607',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'GIOVANNI_IDVD',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'H050527_00',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'H060419_00',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'HOUSING_SHOW',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'IDVD_ONESTEP_DVD',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'JVC_DVD_ROM_PVD',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'LOIS_AND_ELAINES_STORY',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'MY_GREAT_DVD',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'NATIONALMEMORIALMOVIE',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'NCBC',UDF filesystem data,application
# UDF filesystem data (version 1.5) 'NHT_SHOW',UDF filesystem data,application
